# Dirsearch started Thu Jan 15 15:18:41 2026 as: /usr/lib/python3/dist-packages/dirsearch/dirsearch.py -u http://localhost:8080/

200    23KB  http://localhost:8080/about.php
302     0B   http://localhost:8080/admin    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/%3bindex/    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/.config    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/_logs/access-log    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/.htaccess    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/_logs/access.log    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/_logs/access_log    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/_logs/err.log    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/_logs/error-log    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/_logs/error.log    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/_logs/error_log    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/access.log    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/_logs/login.txt    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/account    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/access.txt    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/access_log    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/account.php    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/account.aspx    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/account.jsp    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/account.html    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/account.js    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/admin-login    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/admin-login.php    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/admin    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/admin-login.aspx    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/admin-login.jsp    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/admin-login.html    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/admin-login.js    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/admin.php    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/admin.aspx    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/admin.jsp    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/admin.html    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/admin.js    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/admin/login    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/admin_login    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/admin_login.php    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/admin_login.aspx    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/admin_login.js    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/admin_login.jsp    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/adminLogin.php    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/adminLogin.aspx    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/adminLogin    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/adminer.php    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/admin_login.html    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/adminLogin.html    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/adminLogin.jsp    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/adminLogin.js    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/backup/    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/backups/    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/config.php    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/controlpanel    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/controlpanel.php    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/controlpanel.aspx    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/controlpanel.jsp    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/controlpanel.html    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/controlpanel.js    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/cp    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/cp.php    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/cp.aspx    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/cp.jsp    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/cp.html    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/cp.js    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/default    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/data/autosuggest    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/db/    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/default.asp    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/dumper/    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/download.php    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/default/admin.asp    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/default/login.asp    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/error.txt    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/error_log    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/errors.log    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/error.log    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/export.php    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/FCKeditor    -> REDIRECTS TO: /login.php
302     0B   http://localhost:8080/admin/fckeditor/editor/filemanager/browser/default/connectors/asp/connector.asp    -> REDIRECTS TO: /login.php
